#Graph gt5.kmer27.(2395000.2400000).V9.E14.mincyc2
14,14,5
time_default: 0.09418212715536356
solved_default: True
time_safety:               0.05094292014837265
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0005574510432779789
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(2765000.2770000).V7.E11.mincyc1
11,11,5
time_default: 0.05129833985120058
solved_default: True
time_safety:               0.04445467912591994
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.000398281030356884
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3025000.3030000).V7.E11.mincyc1
11,11,5
time_default: 0.047612310852855444
solved_default: True
time_safety:               0.041420089080929756
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037570809945464134
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(665000.670000).V56.E77.mincyc100
77,77,5
time_default: 0.49155125208199024
solved_default: True
time_safety:               0.3040709150955081
edge_variables=1:          22
edge_variables>=1:         28
preprocess_safety:         0.004761877004057169
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       64
solved_safety: True
#Graph gt5.kmer27.(3540000.3545000).V13.E20.mincyc5
20,20,5
time_default: 0.09095464297570288
solved_default: True
time_safety:               0.07363421306945384
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.0007457360625267029
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(1730000.1735000).V15.E22.mincyc5
22,22,5
time_default: 0.09894963400438428
solved_default: True
time_safety:               0.07212794409133494
edge_variables=1:          20
edge_variables>=1:         8
preprocess_safety:         0.0008297138847410679
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(4035000.4040000).V12.E21.mincyc4
21,21,5
time_default: 0.10699235391803086
solved_default: True
time_safety:               0.07384287705644965
edge_variables=1:          15
edge_variables>=1:         4
preprocess_safety:         0.0008257359731942415
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       7
solved_safety: True
#Graph gt5.kmer27.(2835000.2840000).V10.E15.mincyc2
15,15,5
time_default: 0.06374517199583352
solved_default: True
time_safety:               0.059578516986221075
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005229860544204712
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(3220000.3225000).V11.E17.mincyc4
17,17,5
time_default: 0.08205163013190031
solved_default: True
time_safety:               0.060082378098741174
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.0006478519644588232
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       8
solved_safety: True
#Graph gt5.kmer27.(3765000.3770000).V20.E29.mincyc17
29,29,5
time_default: 0.15124356001615524
solved_default: True
time_safety:               0.09328393405303359
edge_variables=1:          19
edge_variables>=1:         12
preprocess_safety:         0.001252802088856697
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       20
solved_safety: True
#Graph gt5.kmer27.(1195000.1200000).V38.E53.mincyc1
53,53,5
time_default: 0.2344265328720212
solved_default: True
time_safety:               0.2072419091127813
edge_variables=1:          38
edge_variables>=1:         3
preprocess_safety:         0.002338818972930312
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(985000.990000).V22.E33.mincyc6
33,33,5
time_default: 0.18811506405472755
solved_default: True
